Time[s], Channel 0
-0.100000000000000, 0
0.000000000000000, 1
0.000000450000000, 0
0.000001240000000, 1
0.000001690000000, 0
0.000002450000000, 1
0.000002900000000, 0
0.000003660000000, 1
0.000004110000000, 0
0.000004870000000, 1
0.000005320000000, 0
0.000006210000000, 1
0.000006870000000, 0
0.000007640000000, 1
0.000008080000000, 0
0.000009000000000, 1
0.000009660000000, 0
0.000010430000000, 1
0.000010870000000, 0
0.000011660000000, 1
0.000012110000000, 0
0.000012870000000, 1
0.000013320000000, 0
0.000014080000000, 1
0.000014530000000, 0
0.000015290000000, 1
0.000015730000000, 0
0.000016490000000, 1
0.000016940000000, 0
0.000017840000000, 1
0.000018490000000, 0
0.000019340000000, 1
0.000019990000000, 0
0.000020760000000, 1
0.000021200000000, 0
0.000021990000000, 1
0.000022440000000, 0
0.000023200000000, 1
0.000023650000000, 0
0.000024410000000, 1
0.000024860000000, 0
0.000025620000000, 1
0.000026070000000, 0
0.000026830000000, 1
0.000027280000000, 0
0.000028170000000, 1
0.000028830000000, 0
0.000029670000000, 1
0.000030330000000, 0
0.000031170000000, 1
0.000031830000000, 0
0.000032670000000, 1
0.000033330000000, 0
0.000034170000000, 1
0.000034830000000, 0
0.000035670000000, 1
0.000036330000000, 0
0.000037170000000, 1
0.000037830000000, 0
0.000038670000000, 1
0.000039330000000, 0
0.000040170000000, 1
0.000040830000000, 0
0.000041670000000, 1
0.000042330000000, 0
0.000043170000000, 1
0.000043830000000, 0
0.000044670000000, 1
0.000045330000000, 0
0.000046170000000, 1
0.000046830000000, 0
0.000047670000000, 1
0.000048330000000, 0
0.000049090000000, 1
0.000049530000000, 0
0.000050330000000, 1
0.000050780000000, 0
0.000051540000000, 1
0.000051980000000, 0
0.000052740000000, 1
0.000053190000000, 0
0.000053950000000, 1
0.000054400000000, 0
0.000055160000000, 1
0.000055610000000, 0
0.000056370000000, 1
0.000056820000000, 0
0.000057580000000, 1
0.000058030000000, 0
0.000058790000000, 1
0.000059230000000, 0
0.000060000000000, 1
0.000060440000000, 0
0.000061200000000, 1
0.000061650000000, 0
0.000062410000000, 1
0.000062860000000, 0
0.000063750000000, 1
0.000064410000000, 0
0.000065250000000, 1
0.000065910000000, 0
0.000066750000000, 1
0.000067410000000, 0
0.000068250000000, 1
0.000068910000000, 0
0.000069680000000, 1
0.000070120000000, 0
0.000070910000000, 1
0.000071360000000, 0
0.000072120000000, 1
0.000072570000000, 0
0.000073330000000, 1
0.000073780000000, 0
0.000074670000000, 1
0.000075330000000, 0
0.000076170000000, 1
0.000076830000000, 0
0.000077670000000, 1
0.000078330000000, 0
0.000079170000000, 1
0.000079830000000, 0
0.000080600000000, 1
0.000081040000000, 0
0.000081830000000, 1
0.000082280000000, 0
0.000083040000000, 1
0.000083490000000, 0
0.000084250000000, 1
0.000084690000000, 0
0.000085590000000, 1
0.000086240000000, 0
0.000087090000000, 1
0.000087740000000, 0
0.000088590000000, 1
0.000089240000000, 0
0.000090090000000, 1
0.000090740000000, 0
0.000091510000000, 1
0.000091950000000, 0
0.000092750000000, 1
0.000093190000000, 0
0.000093950000000, 1
0.000094400000000, 0
0.000095160000000, 1
0.000095610000000, 0
